ID группы,Группа,Ключ,Частота,KD,CPC low,CPC high,Тип ключа
1,Парсер Сайтов,парсер сайтов,3239,0,0,0,
1,Парсер Сайтов,парсер для сайта кудель,5,0,0,0,
2,Облачный Парсер,облачный парсер,2595,0,0,0,
2,Облачный Парсер,облачный парсер сайтов,467,0,0,0,
2,Облачный Парсер,облачный парсер бесплатно,113,0,0,0,
2,Облачный Парсер,облачный парсер товаров,32,0,0,0,
2,Облачный Парсер,промокод облачный парсер,13,0,0,0,
2,Облачный Парсер,облачный парсер ъ,5,0,0,0,
3,Бесплатный Парсер,бесплатный парсер,1942,0,0,0,
3,Бесплатный Парсер,бесплатный парсер сайтов,207,0,0,0,
3,Бесплатный Парсер,бесплатные парсеры яндекс,66,0,0,0,
3,Бесплатный Парсер,бесплатный телеграмм парсер,65,0,0,0,
3,Бесплатный Парсер,бесплатный онлайн парсер сайтов бесплатно,21,0,0,0,
3,Бесплатный Парсер,бесплатный парсер сайта авито,9,0,0,0,
3,Бесплатный Парсер,бесплатный парсер для валдберис,5,0,0,0,
4,Парсер Авито,парсер авито,2005,0,0,0,
4,Парсер Авито,парсер авито бесплатно,179,0,0,0,
4,Парсер Авито,парсер авито на python,36,0,0,0,
4,Парсер Авито,парсер удочка авито,10,0,0,0,
5,Парсер Вк,парсер вк,1487,0,0,0,
5,Парсер Вк,парсер вк бесплатно,241,0,0,0,
5,Парсер Вк,парсер клипов вк,5,0,0,0,
6,Парсер Официальный Сайт,парсер официальный сайт,576,0,0,0,
6,Парсер Официальный Сайт,облачный парсер официальный,471,0,0,0,
6,Парсер Официальный Сайт,облачный парсер официальный сайт,455,0,0,0,
6,Парсер Официальный Сайт,турбо парсер официальный,90,0,0,0,
6,Парсер Официальный Сайт,турбо парсер официальный сайт,84,0,0,0,
7,Парсер Онлайн,парсер онлайн,1165,0,0,0,
7,Парсер Онлайн,парсер онлайн бесплатно,135,0,0,0,
7,Парсер Онлайн,парсер сайтов онлайн,134,0,0,0,
7,Парсер Онлайн,парсер авито онлайн,55,0,0,0,
7,Парсер Онлайн,яндекс парсер онлайн,37,0,0,0,
7,Парсер Онлайн,парсер вк онлайн,19,0,0,0,
7,Парсер Онлайн,парсер онлайн телеграм,9,0,0,0,
7,Парсер Онлайн,парсер авито бесплатно онлайн,8,0,0,0,
8,Парсер Тг,парсер тг,825,0,0,0,
8,Парсер Тг,парсер тг каналов,201,0,0,0,видео
8,Парсер Тг,парсер тг чатов,145,0,0,0,
8,Парсер Тг,парсер тг бот,122,0,0,0,
8,Парсер Тг,бесплатный парсер тг,68,0,0,0,
